badge-name, Badge url, verification url
Applied Data Science Specialization (V2),./assets/images/badge/applied-data-science-specialization-v2.png,https://www.credly.com/badges/90d0f72e-0d14-4033-bba3-c72eecf3cf6d/public_url
Applied Data Science Capstone,./assets/images/badge/applied-data-science-capstone.1.png,https://www.credly.com/badges/93dc9704-ec92-4a71-aadb-bc0a2dcb4cea/public_url
Data Analysis with Python,./assets/images/badge/data-analysis-with-python.png,https://www.credly.com/badges/461b872e-48c9-488f-b9c1-823232561aeb/public_url
Python for Data Science and AI,./assets/images/badge/python-for-data-science-and-ai.png,https://www.credly.com/badges/1b87a57d-c6ef-4eaa-afd4-c3c00bd7a2e5/public_url
Google Data Analytics Professional Certificate,./assets/images/badge/google-data-analytics-professional-certificate.2.png,https://www.credly.com/badges/41ccd9d4-7618-44d2-a662-41b1d369c4a7/public_url
Data Analysis Using Python,./assets/images/badge/data-analysis-using-python.png,https://www.credly.com/badges/2e4b9afe-c563-49ce-98ba-41db3081f9b0/public_url
Data Science Methodologies,./assets/images/badge/data-science-methodologies.png,https://www.credly.com/badges/ab5c4766-6f99-47ba-9acb-f1a92760137d/public_url
Data Science with Scala,./assets/images/badge/data-science-with-scala.png,https://www.credly.com/badges/a4868878-cbcf-49eb-a8b1-3cf01466747e/public_url
Using R with Databases,./assets/images/badge/using-r-with-databases.png,https://www.credly.com/badges/1dcefc37-9bb4-4ff0-accc-28133fa172bf/public_url
Data Science Foundations - Level 1,./assets/images/badge/data-science-foundations-level-1.png,https://www.credly.com/badges/e29bf44c-28cd-465c-b17c-99c9520d3a8c/public_url
Statistics 101,./assets/images/badge/statistics-101.png,https://www.credly.com/badges/d3d71365-86b3-45b1-a130-cb22cf341b55/public_url
Applied Data Science with R - Level 2,./assets/images/badge/applied-data-science-with-r-level-2.png,https://www.credly.com/badges/891b5c51-f5d0-4aa4-abc1-ebbcefa67215/public_url
Machine Learning with R - Level 1,./assets/images/badge/machine-learning-with-r-level-1.png,https://www.credly.com/badges/5d2b11be-643c-49d9-9a23-feb46068081a/public_url
Data Visualization with R,./assets/images/badge/data-visualization-with-r.png,https://www.credly.com/badges/c8237d3f-200e-40ca-a445-d09bbc2742db/public_url
R Essentials,./assets/images/badge/r-essentials.png,https://www.credly.com/badges/a9aa0417-f6cf-425c-b5d1-4da497c565e5/public_url